rank,cluster_name,start_year,end_year,start_area_km2,end_area_km2,absolute_growth_km2,percent_growth,cagr_percent,avg_annual_growth_km2,years_present,total_years,persistence_percent
1,LCC,1985,2015,340.65,2996.026,2655.376,779.5,7.52,88.513,31,31,100.0
2,Cluster_2,1985,2015,11.902,450.068,438.166,3681.45,12.87,14.606,31,31,100.0
3,Cluster_3,1985,2015,7.779,341.96,334.181,4295.94,13.44,11.139,31,31,100.0
4,Cluster_4,1985,2015,5.892,135.0,129.108,2191.24,11.0,4.304,31,31,100.0
5,Cluster_5,1985,2015,5.588,105.944,100.356,1795.92,10.3,3.345,31,31,100.0
6,Cluster_6,1985,2015,5.253,81.169,75.916,1445.19,9.56,2.531,31,31,100.0
