rank,cluster_name,start_year,end_year,start_area_km2,end_area_km2,absolute_growth_km2,percent_growth,cagr_percent,avg_annual_growth_km2,years_present,total_years,persistence_percent
1,LCC,1985,1990,1595.808,1664.361,68.553,4.3,0.84,13.711,6,6,100.0
2,Cluster_2,1985,1990,423.335,434.146,10.811,2.55,0.51,2.162,6,6,100.0
3,Cluster_3,1985,1990,140.126,158.706,18.58,13.26,2.52,3.716,6,6,100.0
4,Cluster_4,1985,1990,117.483,120.875,3.392,2.89,0.57,0.678,6,6,100.0
5,Cluster_5,1985,1990,107.709,113.627,5.918,5.49,1.08,1.184,6,6,100.0
6,Cluster_6,1985,1990,102.416,108.694,6.278,6.13,1.2,1.256,6,6,100.0
