year,sector,sector_angle_deg,sector_angle_rad,row,col,latitude,longitude,distance_pixels,actual_angle_deg,actual_angle_rad,center_row,center_col
1985,0,18.0,0.3141592653589793,7771,9746,39.915786250331024,116.6163706597229,882.7719719582959,0.01777029778824671,0.00031015020546477115,7771.273791904092,8863.228070500012
1985,1,54.0,0.9424777960769379,7489,9244,39.99178372336754,116.4810843779345,473.9891938547316,36.550274448623874,0.6379226316360416,7771.273791904092,8863.228070500012
1985,2,90.0,1.5707963267948966,7246,8693,40.05727090757985,116.33259286146954,552.1685906020555,107.95620984431048,1.8841913097571328,7771.273791904092,8863.228070500012
1985,3,126.0,2.199114857512855,7332,8439,40.034094373249566,116.26414123681963,610.6807022118537,134.0017750395686,2.338772177957227,7771.273791904092,8863.228070500012
1985,4,162.0,2.827433388230814,7766,8231,39.9171337232572,116.20808636309057,632.2500660412903,179.522072770788,3.13325124985511,7771.273791904092,8863.228070500012
1985,5,198.0,3.4557519189487724,7893,8190,39.88290791093225,116.1970370850959,684.1442133399781,190.24890733509744,3.3204698313190413,7771.273791904092,8863.228070500012
1985,6,234.0,4.084070449666731,8193,8429,39.802059535361494,116.26144629096727,605.3156299032073,224.16321111969356,3.9123860958818173,7771.273791904092,8863.228070500012
1985,7,270.0,4.71238898038469,8154,8945,39.812569824185694,116.40050549694898,391.3642789238989,282.0602822541348,4.922880614439185,7771.273791904092,8863.228070500012
1985,8,306.0,5.340707511102648,8089,9211,39.83008697222602,116.47219105662171,471.0575954797341,317.58501821563067,5.542904222868922,7771.273791904092,8863.228070500012
1985,9,342.0,5.969026041820607,7781,9748,39.91309130447867,116.61690964889337,884.8253874946494,359.37017867538856,6.272192851365845,7771.273791904092,8863.228070500012
1986,0,18.0,0.3141592653589793,7771,9747,39.915786250331024,116.61664015430813,883.7719719102538,0.01775019045505652,0.0003097992662968068,7771.273791904092,8863.228070500012
1986,1,54.0,0.9424777960769379,7489,9244,39.99178372336754,116.4810843779345,473.9891938547316,36.550274448623874,0.6379226316360416,7771.273791904092,8863.228070500012
1986,2,90.0,1.5707963267948966,7245,8694,40.05754040216509,116.33286235605478,552.8130279672039,107.82566150927262,1.8819128114777255,7771.273791904092,8863.228070500012
1986,3,126.0,2.199114857512855,7332,8439,40.034094373249566,116.26414123681963,610.6807022118537,134.0017750395686,2.338772177957227,7771.273791904092,8863.228070500012
1986,4,162.0,2.827433388230814,7727,7634,39.9276440120814,116.04719809570477,1230.0251289932046,177.93723767878606,3.105590659398529,7771.273791904092,8863.228070500012
1986,5,198.0,3.4557519189487724,7773,7978,39.91524726116055,116.1399042330259,885.2297535643302,180.11172749304927,3.143542666208502,7771.273791904092,8863.228070500012
1986,6,234.0,4.084070449666731,8193,8429,39.802059535361494,116.26144629096727,605.3156299032073,224.16321111969356,3.9123860958818173,7771.273791904092,8863.228070500012
1986,7,270.0,4.71238898038469,8156,8942,39.81203083501522,116.39969701319328,392.70761652023896,281.57127043099445,4.914345748044206,7771.273791904092,8863.228070500012
1986,8,306.0,5.340707511102648,8084,9280,39.831434445152205,116.49078618300298,521.0532817756626,323.1171479289752,5.639458101014195,7771.273791904092,8863.228070500012
1986,9,342.0,5.969026041820607,7783,9749,39.9125523153082,116.61717914347861,885.8495442491575,359.2415395361018,6.26994767483836,7771.273791904092,8863.228070500012
1987,0,18.0,0.3141592653589793,7771,9747,39.915786250331024,116.61664015430813,883.7719719102538,0.01775019045505652,0.0003097992662968068,7771.273791904092,8863.228070500012
1987,1,54.0,0.9424777960769379,7489,9244,39.99178372336754,116.4810843779345,473.9891938547316,36.550274448623874,0.6379226316360416,7771.273791904092,8863.228070500012
1987,2,90.0,1.5707963267948966,7245,8694,40.05754040216509,116.33286235605478,552.8130279672039,107.82566150927262,1.8819128114777255,7771.273791904092,8863.228070500012
1987,3,126.0,2.199114857512855,7332,8439,40.034094373249566,116.26414123681963,610.6807022118537,134.0017750395686,2.338772177957227,7771.273791904092,8863.228070500012
1987,4,162.0,2.827433388230814,7727,7634,39.9276440120814,116.04719809570477,1230.0251289932046,177.93723767878606,3.105590659398529,7771.273791904092,8863.228070500012
1987,5,198.0,3.4557519189487724,7787,7767,39.91147433696725,116.08304087554114,1096.3408667806082,180.82189424964406,3.15593741434929,7771.273791904092,8863.228070500012
1987,6,234.0,4.084070449666731,8193,8429,39.802059535361494,116.26144629096727,605.3156299032073,224.16321111969356,3.9123860958818173,7771.273791904092,8863.228070500012
1987,7,270.0,4.71238898038469,8251,9007,39.78642884941782,116.4172141612336,500.80695127586637,286.6832526184856,5.003566668519229,7771.273791904092,8863.228070500012
1987,8,306.0,5.340707511102648,8087,9297,39.83062596139649,116.495367590952,536.5082714187761,323.95054110644463,5.654003555924693,7771.273791904092,8863.228070500012
1987,9,342.0,5.969026041820607,7783,9749,39.9125523153082,116.61717914347861,885.8495442491575,359.2415395361018,6.26994767483836,7771.273791904092,8863.228070500012
1988,0,18.0,0.3141592653589793,7771,9747,39.915786250331024,116.61664015430813,883.7719719102538,0.01775019045505652,0.0003097992662968068,7771.273791904092,8863.228070500012
1988,1,54.0,0.9424777960769379,7489,9244,39.99178372336754,116.4810843779345,473.9891938547316,36.550274448623874,0.6379226316360416,7771.273791904092,8863.228070500012
1988,2,90.0,1.5707963267948966,7245,8694,40.05754040216509,116.33286235605478,552.8130279672039,107.82566150927262,1.8819128114777255,7771.273791904092,8863.228070500012
1988,3,126.0,2.199114857512855,7332,8439,40.034094373249566,116.26414123681963,610.6807022118537,134.0017750395686,2.338772177957227,7771.273791904092,8863.228070500012
